#***********************************************************#
# If you used results from CATS queries in your papers, we'd#
# be grateful to know where your paper will appear, and for #
# adding to your paper the following reference:             #
#---------------------------------------------------------- #
# The authors made use of the database CATS (Verkhodanov    #
# et al., 1997) of the Special Astrophysical Observatory.   #
#                                                           #
#   Verkhodanov O.V., Trushkin S.A., Andernach H.,          #
#      Chernenkov V.N. 1997. The CATS database to operate   #
#      with astrophysical catalogs. In "Astronomical Data   #
#      Analysis Software and Systems VI".                   #
#      Editors: Gareth Hunt and H. E. Payne                 #
#      ASP Conference Series, Vol. 125, P.322-325.          #
#***********************************************************#
# TASK: matching
# Search circle of radius of 3600 arcsec
# default input  epoch: J2000.0
# default output epoch: J2000.0
# 
# cat     name            RA         eRA       Dec       eDec     freq    Flux(Jy)   eFl  equi.    dist," pa,^
#-------------------------------------------------------------------------------------------------------------
#OBJECT: 3C343.1 16:38:28.21 62:34:44.31 2000
NVSS   J163831+630323     16 38 31.164      n   63 03 23.38     n     1400    0.0041    .0007 J       1719.1  359
NVSS   J163832+622309     16 38 32.588      n   62 23 09.64     n     1400    0.0102    .0010 J        695.3  183
NVSS   J163838+624704     16 38 38.140      n   62 47 04.25     n     1400    0.0033    .0006 J          743  355
NVSS   J163842+624327     16 38 42.985      n   62 43 27.83     n     1400    0.0276    .0015 J        533.2  349
NVSS   J163844+615954     16 38 44.640      n   61 59 54.15     n     1400    0.0052    .0005 J       2093.3  183
NVSS   J163849+622927     16 38 49.227      n   62 29 27.20     n     1400    0.0032    .0005 J        348.9  205
NVSS   J163851+620025     16 38 51.596      n   62 00 25.56     n     1400    0.0082    .0005 J       2065.3  185
NVSS   J163852+614252     16 38 52.395      n   61 42 53.00     n     1400    0.0108    .0009 J         3116  183
NVSS   J163856+623526     16 38 56.536      n   62 35 26.41     n     1400    0.0049    .0011 J          200  282
NVSS   J163856+623150     16 38 56.671      n   62 31 50.36     n     1400    0.0031    .0307 J        262.7  229
NVSS   J163905+620020     16 39 05.346      n   62 00 20.07     n     1400    0.0146    .0005 J       2080.7  187
NVSS   J163913+625944     16 39 13.499      n   62 59 44.96     n     1400    0.0111    .0005 J         1532  348
NVSS   J163915+621438     16 39 15.701      n   62 14 38.55     n     1400    0.0033    .0023 J       1250.5  195
NVSS   J163918+624836     16 39 18.802      n   62 48 36.81     n     1400    0.0023    .0016 J        901.8  337
NVSS   J163919+624921     16 39 19.259      n   62 49 21.76     n     1400    0.0027    .0006 J        944.5  338
NVSS   J163921+633234     16 39 21.691      n   63 32 34.36     n     1400    0.0039    .0005 J       3488.4  354
NVSS   J163926+623244     16 39 26.545      n   62 32 44.99     n     1400    0.0033    .0006 J        420.6  254
NVSS   J163941+614302     16 39 41.041      n   61 43 02.03     n     1400    0.0069    .0005 J       3145.1  189
NVSS   J163942+621330     16 39 42.218      n   62 13 30.19     n     1400    0.0451    .0018 J       1375.1  202
NVSS   J163947+625020     16 39 47.038      n   62 50 20.71     n     1400    0.0043    .0009 J       1080.8  330
NVSS   J164003+620453     16 40 03.001      n   62 04 53.26     n     1400    0.0084    .0005 J       1910.7  200
NVSS   J164009+633246     16 40 09.770      n   63 32 46.05     n     1400     0.014    .0015 J       3547.2  349
NVSS   J164012+620347     16 40 12.998      n   62 03 47.07     n     1400    0.0028    .0010 J       1997.9  202
NVSS   J164015+625822     16 40 15.965      n   62 58 22.26     n     1400    0.0034    .0006 J       1596.8  333
NVSS   J164024+631038     16 40 24.997      n   63 10 38.04     n     1400     0.003    .0006 J       2294.2  340
NVSS   J164028+632450     16 40 28.059      n   63 24 50.92     n     1400    0.0249    .0005 J       3112.3  345
NVSS   J164028+630347     16 40 28.924      n   63 03 47.62     n     1400    0.0025    .0007 J       1926.6  335
NVSS   J164032+625110     16 40 32.519      n   62 51 10.93     n     1400    0.0029    .0006 J       1302.7  319
NVSS   J164040+631714     16 40 40.226      n   63 17 14.81     n     1400     0.003    .0006 J       2701.3  341
NVSS   J164046+625410     16 40 46.548      n   62 54 10.89     n     1400    0.0027    .0006 J       1501.4  321
NVSS   J164047+631837     16 40 47.027      n   63 18 37.10     n     1400    0.0059    .0005 J       2793.9  340
NVSS   J164049+622543     16 40 49.108      n   62 25 43.12     n     1400    0.0061    .0005 J       1117.9  241
NVSS   J164056+623705     16 40 56.080      n   62 37 05.27     n     1400    0.0031    .0005 J       1029.8  278
NVSS   J164059+632033     16 40 59.127      n   63 20 33.86     n     1400    0.0265    .0012 J       2931.1  340
NVSS   J164100+624800     16 41 00.022      n   62 48 00.74     n     1400    0.0039    .0005 J       1310.6  307
NVSS   J164100+615343     16 41 00.315      n   61 53 43.39     n     1400    0.0025    .0005 J       2685.3  204
NVSS   J164105+624455     16 41 05.030      n   62 44 55.44     n     1400    0.0023    .0005 J       1238.3  300
NVSS   J164112+630212     16 41 12.200      n   63 02 12.82     n     1400    0.0036    .0005 J       1990.3  326
NVSS   J164114+622849     16 41 14.751      n   62 28 49.72     n     1400    0.0521    .0020 J       1207.4  253
NVSS   J164124+621028     16 41 24.795      n   62 10 28.43     n     1400    0.0029    .0005 J         1910  220
NVSS   J164126+624634     16 41 26.114      n   62 46 34.46     n     1400    0.1162    .0041 J       1412.3  300
NVSS   J164132+615733     16 41 32.484      n   61 57 33.95     n     1400    0.0486    .0005 J       2581.2  210
NVSS   J164139+625523     16 41 39.019      n   62 55 23.52     n     1400    0.0033    .0005 J         1798  314
